stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,final_score,tier
5880,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=69,45.0,持續配息 | 營收動能,57.5,[positive] 代子公司合作金庫證券股份有限公司公告擬取得合庫金控無擔保主順,55.5,強力候選
3711,55.0,MA多頭 | MACD↑ | RSI=59,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2337,55.0,MA多頭 | MACD↑ | RSI=52,38.0,營收動能,50.0,無重大訊息,47.2,觀察股
2330,55.0,MA多頭 | MACD↑ | RSI=50,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.8,觀察股
2379,55.0,MA多頭 | MACD↑ | RSI=67,30.0,持續配息 | 營收動能,57.5,"[positive] 係因本公司有價證券於集中交易市場達公布注意交易資訊
標準，",45.5,觀察股
1326,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=58,23.0,營收動能,50.0,無重大訊息,45.2,觀察股
8046,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=65,23.0,營收動能,50.0,無重大訊息,45.2,觀察股
1301,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=63,22.0,持續配息,50.0,無重大訊息,44.8,觀察股
1590,55.0,MA多頭 | MACD↑ | RSI=63,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2884,55.0,MA多頭 | MACD↑ | RSI=67,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2408,55.0,MA多頭 | MACD↑ | RSI=61,30.0,營收動能,50.0,無重大訊息,44.0,觀察股
6415,55.0,MA多頭 | MACD↑ | RSI=55,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
6505,55.0,MA多頭 | MACD↑ | RSI=45,23.0,營收動能,50.0,無重大訊息,41.2,觀察股
4938,33.0,RSI=31,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2609,33.0,RSI=42,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2207,45.0,MA多頭 | MACD↑ | RSI=48,30.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
2303,30.0,MA多頭 | MACD↑ | RSI=78,45.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
1303,30.0,MA多頭 | MACD↑ | RSI=76,45.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
2885,35.0,MA多頭 | RSI=57,30.0,營收動能,62.0,[positive] 元大金控公告董事會決議通過認購子公司元大期貨115年度現金增 | [positive] 元大金控公告行政長異動,38.4,普通
2301,25.0,RSI=35,45.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2882,55.0,MA多頭 | MACD↑ | RSI=68,15.0,營收動能,50.0,無重大訊息,38.0,普通
3017,33.0,RSI=35,37.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2345,25.0,RSI=44,45.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2327,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=85,30.0,營收動能,50.0,無重大訊息,38.0,普通
2883,55.0,MA多頭 | MACD↑ | RSI=66,15.0,營收動能,50.0,無重大訊息,38.0,普通
2892,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=79,30.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2891,35.0,MA多頭 | RSI=57,30.0,持續配息 | 營收動能,57.5,"[positive] 代台灣人壽公告核准投資
Advent Mid-Market",37.5,普通
2002,45.0,MA多頭 | MACD↑ | RSI=47,22.0,持續配息,50.0,無重大訊息,36.8,普通
3034,30.0,MA多頭 | MACD↑ | RSI=72,37.0,持續配息 | 營收動能,50.0,無重大訊息,36.8,普通
2454,35.0,MA多頭 | RSI=47,29.0,持續配息,50.0,無重大訊息,35.6,普通
2395,33.0,RSI=38,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2353,33.0,RSI=33,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2354,33.0,RSI=36,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
3045,30.0,MA多頭 | MACD↑ | RSI=70,29.0,持續配息,57.5,[positive] 公告本公司每股現金股利及資本公積現金返還金額,35.1,普通
