stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,final_score,tier
1590,64.0,MA多頭 | MACD↑ | RSI=56,30.0,持續配息 | 營收動能,50.0,無重大訊息,100.0,外資連買3日 | 投信連買5日,58.9,強力候選
5880,60.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,62.0,"[positive] 代子公司合作金庫證券投資信託股份有限公司公告115年度
董 | [positive] 代孫公司合作金庫證券投資顧問股份有限公司公告
115年董事",70.0,外資連買4日 | 投信賣超,57.8,強力候選
2883,60.0,MA多頭 | MACD↑ | RSI=61,15.0,營收動能,98.0,"[positive] 代子公司開發資本所屬之CI I公告董事會決議認購
Ocea | [positive] 代子公司開發資本所屬之GM公告董事會決議投資
Greywo | [positive] 代子公司開發資本所屬之GM公告董事會決議投資
M37 Of | [positive] 代子公司開發資本所屬之GM公告董事會決議投資
SIF XI | [positive] 代子公司開發資本所屬之CI I更新公告董事會決議投資
Te | [positive] 代子公司開發資本所屬之中華開發創業投資(股)公司公告
董事 | [positive] 代子公司中華開發資本所屬之中華開發創業投資股份有限公司公告
 | [positive] (更新公告)代子公司開發資本所屬之GM公告董事會
決議投資",85.0,外資買超 | 投信買超,57.2,強力候選
3711,60.0,MA多頭 | MACD↑ | RSI=60,45.0,持續配息 | 營收動能,57.5,[positive] 本公司董事會決議通過發行海外第一次無擔保轉換公司債,70.0,外資連買5日 | 投信賣超,57.1,強力候選
2303,60.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,70.0,外資連買4日 | 投信賣超,56.0,強力候選
1326,60.0,MA多頭 | MACD↑ | RSI=52,23.0,營收動能,50.0,無重大訊息,95.0,外資連買3日 | 投信買超,54.4,觀察股
1301,64.0,MA多頭 | MACD↑ | RSI=55,22.0,持續配息,60.0,[positive] 公告本公司受邀參加玉山證券法人說明會,70.0,外資連買3日 | 投信賣超,52.0,觀察股
3034,60.0,MA多頭 | MACD↑ | RSI=54,37.0,持續配息 | 營收動能,50.0,無重大訊息,60.0,外資買超 | 投信賣超,51.6,觀察股
3045,40.0,MA多頭 | RSI=61,29.0,持續配息,50.0,無重大訊息,95.0,外資連買4日 | 投信買超,49.2,觀察股
6505,59.0,MA多頭 | MACD↑ | RSI=45,23.0,營收動能,50.0,無重大訊息,70.0,外資連買3日 | 投信賣超,49.0,觀察股
8046,45.0,MA多頭 | MACD↑ | 突破20日高 | RSI=73,23.0,營收動能,50.0,無重大訊息,90.0,外資買超 | 投信連買4日,48.2,觀察股
2884,60.0,MA多頭 | MACD↑ | RSI=59,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,47.5,觀察股
3008,60.0,MA多頭 | MACD↑ | RSI=67,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買4日,47.5,觀察股
2327,60.0,MA多頭 | MACD↑ | RSI=69,30.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,47.5,觀察股
2408,60.0,MA多頭 | MACD↑ | RSI=62,30.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,47.5,觀察股
