stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,news_signal
2609,74.0,MA多頭 | MACD↑ | RSI=59,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 16.34 低波動,61.1,強力候選,
2345,64.0,MA多頭 | MACD↑ | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,58.2,強力候選,
3017,60.0,MA多頭 | MACD↑ | RSI=62,37.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,54.4,觀察股,
2354,51.0,RSI=53 | KD黃金交叉 | 突破布林中軌,45.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買3日 | 投信買超,50.0,,,🌐 VIX 16.34 低波動,54.2,觀察股,
2395,60.0,MA多頭 | MACD↑ | RSI=60,30.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買3日,50.0,,,🌐 VIX 16.34 低波動,52.3,觀察股,
1590,60.0,MA多頭 | MACD↑ | RSI=60,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買4日 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,52.0,觀察股,
3711,60.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買4日,50.0,,,🌐 VIX 16.34 低波動,52.0,觀察股,
2301,52.0,MA多頭 | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,51.6,觀察股,
6669,64.0,MA多頭 | MACD↑ | RSI=53,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,51.0,觀察股,
2330,64.0,MA多頭 | MACD↑ | RSI=57,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買4日,50.0,,,🌐 VIX 16.34 低波動,51.0,觀察股,
6505,64.0,MA多頭 | MACD↑ | RSI=66,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,50.1,觀察股,
8046,60.0,MA多頭 | MACD↑ | RSI=66,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,49.6,觀察股,
5880,40.0,MA多頭 | RSI=62,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 16.34 低波動,49.2,觀察股,
2105,54.0,MACD↑ | RSI=43,22.0,持續配息,50.0,無重大訊息,80.0,外資連買4日 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,49.0,觀察股,
2615,37.0,RSI=40,45.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買4日,50.0,,,🌐 VIX 16.34 低波動,48.8,觀察股,
1301,64.0,MA多頭 | MACD↑ | RSI=69,22.0,持續配息,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,47.7,觀察股,
4938,37.0,RSI=53,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,46.4,觀察股,
2891,56.0,MA多頭 | RSI=55 | KD黃金交叉,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買3日,50.0,,,🌐 VIX 16.34 低波動,46.1,觀察股,
2382,62.0,MA多頭 | RSI=56,23.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,46.1,觀察股,
2885,56.0,MA多頭 | RSI=65 | KD黃金交叉,30.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買3日,50.0,,,🌐 VIX 16.34 低波動,46.1,觀察股,
1303,35.0,MA多頭 | MACD↑ | RSI=80,38.0,營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,46.0,觀察股,
2884,41.0,RSI=49 | KD黃金交叉,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 16.34 低波動,45.1,觀察股,
3034,40.0,MA多頭 | RSI=61,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買3日,50.0,,,🌐 VIX 16.34 低波動,45.0,觀察股,
2303,40.0,MA多頭 | RSI=67,38.0,營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,44.1,觀察股,
2892,48.0,MA多頭 | RSI=64,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,43.3,觀察股,
3036,39.0,MACD↑ | RSI=43,30.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,42.6,觀察股,
6415,56.0,MA多頭 | RSI=61 | KD黃金交叉,30.0,持續配息 | 營收動能,50.0,無重大訊息,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,42.5,觀察股,
2327,40.0,MA多頭 | RSI=55,30.0,營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,41.7,觀察股,
2379,40.0,MA多頭 | RSI=61,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,40.5,觀察股,
2207,41.0,RSI=58 | KD黃金交叉 | 突破布林中軌,30.0,持續配息 | 營收動能,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 16.34 低波動,40.2,觀察股,
1326,39.0,MA多頭 | MACD↑ | RSI=73,30.0,持續配息 | 營收動能,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 16.34 低波動,39.6,普通,
2408,45.0,MA多頭 | RSI=54 | 突破布林中軌,30.0,營收動能,50.0,無重大訊息,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,38.6,普通,
3045,33.0,RSI=42,29.0,持續配息,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,37.8,普通,
2882,25.0,RSI=36,30.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 16.34 低波動,37.6,普通,
2376,37.0,RSI=42,22.0,持續配息,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.34 低波動,37.0,普通,
