stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,close,news_signal
3034,64.0,MA多頭 | MACD↑ | RSI=50,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買4日 | 投信買超 | 券資比0.04↓低 | 使用率2%↓,70.0,券資比0.04↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",64.0,強力候選,556.0,📰 正面 【2026/08月營收公告】聯詠(303…
3711,50.0,MA多頭 | MACD↑ | RSI=55,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.01↓低 | 使用率1%↓,70.0,券資比0.01↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",56.6,強力候選,612.0,📰 正面 AI先進封測需求旺！日月光投控砸105億…
2207,60.0,MA多頭 | MACD↑ | RSI=63 | KD黃金交叉,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資連買4日 | 投信連買5日 | 券資比0.00↓低 | 融資-15.2%↓ | 使用率0%↓,55.0,券資比0.00↓低 | 融資-15.2%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",56.6,強力候選,538.0,
6505,60.0,MA多頭 | MACD↑ | RSI=70,45.0,持續配息 | 營收動能,50.0,無重大訊息,59.0,外資賣超 | 投信買超 | 券資比0.03↓低 | 融資+5.2% | 使用率1%↓,80.0,券資比0.03↓低 | 融資+5.2% | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",55.2,強力候選,82.8,
2303,60.0,MA多頭 | MACD↑ | RSI=64,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資賣超 | 投信連買5日 | 券資比0.03↓低 | 融資+7.7% | 使用率6%↓,80.0,券資比0.03↓低 | 融資+7.7% | 使用率6%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",54.1,觀察股,142.5,
2609,42.0,RSI=38,45.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買3日 | 券資比0.06↓低 | 使用率4%↓,70.0,券資比0.06↓低 | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",53.2,觀察股,59.3,
1303,60.0,MA多頭 | MACD↑ | RSI=68,45.0,持續配息 | 營收動能,50.0,無重大訊息,52.0,外資賣超 | 投信連買5日 | 券資比0.05↓低 | 使用率2%↓,70.0,券資比0.05↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",52.7,觀察股,234.0,📰 正面 南亞攻上漲停寫新高！市值衝1.92兆元超…
2412,35.0,MA多頭 | MACD↑ | 突破20日高 | RSI=83,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.8,外資連買5日 | 投信連買4日 | 券資比0.01↓低 | 使用率0%↓,70.0,券資比0.01↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",52.6,觀察股,142.5,📰 正面 中華電資通訊簽約額創高；前8月獲利年增8…
2886,35.0,MA多頭 | MACD↑ | 突破20日高 | RSI=76,29.0,持續配息,50.0,無重大訊息,81.8,外資連買3日 | 投信連買3日 | 券資比0.02↓低 | 融資+13.9% | 使用率0%↓,80.0,券資比0.02↓低 | 融資+13.9% | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",52.4,觀察股,52.5,📰 正面 兆豐金獲利／前八月賺292.19億元續創…
2360,60.0,MA多頭 | MACD↑ | RSI=61,45.0,持續配息 | 營收動能,50.0,無重大訊息,49.0,外資賣超 | 投信買超 | 券資比0.01↓低 | 融資-12.4%↓ | 使用率1%↓,55.0,券資比0.01↓低 | 融資-12.4%↓ | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,658口 🔴 偏空｜VIX 17.57 低波動｜Fed 3.92%短率升",51.6,觀察股,2140.0,📰 正面 【10:05 即時新聞】致茂(2360)…
