signal,count,mean_5d,win_5d,mean_20d,win_20d,mean_now,win_now
[籌碼] 融資減,26,2.94,83.3,,,3.64,76.9
[技術] RSI超賣(≤30),3,1.66,66.7,,,4.62,100.0
[技術] RSI偏高(60-70),403,1.32,49.9,2.25,48.0,-2.34,43.2
[籌碼] 外資連買,231,1.05,60.2,-1.92,39.3,1.44,57.6
[技術] MACD↑,819,0.88,49.3,2.41,47.7,-1.4,44.3
[籌碼] 投信買超,177,0.87,58.5,0.42,40.9,1.49,57.6
[技術] MA多頭,965,0.4,48.4,2.32,45.4,-2.68,42.1
[籌碼] 融資暴增,7,0.36,100.0,,,-0.44,14.3
[基本] 持續配息,1028,-0.06,47.0,1.92,43.8,-1.22,42.6
[基本] 營收動能,1097,-0.09,45.8,2.27,45.5,-2.06,43.8
[技術] RSI中性(40-60),538,-0.52,46.9,2.72,41.6,-1.55,41.6
[技術] 突破20日高,143,-0.53,40.5,0.62,44.6,-5.22,37.8
[籌碼] 投信賣超,224,-0.83,44.8,-8.07,34.0,-3.11,47.8
[籌碼] 券資比中性,5,-0.88,0.0,,,-2.26,0.0
[技術] RSI超買(≥70),180,-0.98,41.8,0.2,45.6,-4.97,39.4
[籌碼] 外資買超,231,-1.26,44.6,-10.56,32.7,-2.74,45.9
[籌碼] 融資使用率低,126,-1.71,32.1,,,0.54,45.2
[籌碼] 券資比低,120,-1.74,33.3,,,0.67,47.5
[技術] RSI偏低(30-40),77,-2.0,42.0,0.68,45.8,0.9,53.2
[技術] 突破布林中軌,71,-3.25,41.9,-3.19,27.3,-2.0,39.4
[籌碼] 融資健康增,18,-3.52,33.3,,,-1.31,33.3
[籌碼] 投信連買,261,-3.54,33.3,-8.61,31.0,-5.39,31.0
[技術] KD超賣黃金交叉,5,-3.87,20.0,-6.11,50.0,-7.69,60.0
[籌碼] 外資賣超,201,-4.02,27.5,-5.22,32.5,-7.74,25.4
[技術] KD黃金交叉,85,-4.89,21.1,-9.75,18.2,-3.69,32.9
[籌碼] 券資比高,1,,,,,-0.88,0.0
